id,title,author,date,categories,url
20231102111508713,"Soi cận nhan sắc đời thực dàn ""ngựa chiến"" KOC VIETNAM 2023: Liệu có khác trên clip triệu view?","Nguyễn Quỳnh Trang - Ảnh: Team sự kiện,",2023-11-02T11:20:00,"Đời sống, Đời sống",https://kenh14.vn/soi-can-nhan-sac-doi-thuc-dan-ngua-chien-koc-vietnam-2023-lieu-co-khac-tren-clip-trieu-view-20231102111508713.chn
20231101093045884,"Penthouse gặp tình trạng dột, nứt tùm lum, KTS nhận định: Ai vỗ ngực chưa từng dính lỗi, là nói xạo!","Hải My,",2023-11-02T09:35:00,"Đời sống, House n Home",https://kenh14.vn/penthouse-gap-tinh-trang-dot-nut-tum-lum-kts-nhan-dinh-ai-vo-nguc-chua-tung-dinh-loi-la-noi-xao-20231101093045884.chn
20231102082612028,"Họp báo và công chiếu KOC VIETNAM 2023: Luna Đào đáp trả cực ""căng"" với câu hỏi khó, loạt thí sinh ""khủng"" đổ bộ","Nguyễn Quỳnh Trang - Ảnh: Team sự kiện,",2023-11-02T08:30:00,"Đời sống, Đời sống",https://kenh14.vn/hop-bao-va-cong-chieu-koc-vietnam-2023-luna-dao-dap-tra-cuc-cang-voi-cau-hoi-kho-loat-thi-sinh-khung-do-bo-20231102082612028.chn
20231102155649344,Dàn KOC mùa 1 hội ngộ: Tiểu thư cầm túi Chanel trên dưới 200 triệu chiếm spotlight thảm đỏ,"Nguyễn Quỳnh Trang - Ảnh: Team sự kiện,",2023-11-02T15:59:00,"Đời sống, Đời sống",https://kenh14.vn/dan-koc-mua-1-hoi-ngo-tieu-thu-cam-tui-chanel-tren-duoi-200-trieu-chiem-spotlight-tham-do-20231102155649344.chn
20231103090117795,Đại gia Đức Huy sau hơn 3 năm ly hôn “chị đẹp” Lệ Quyên: Liên tiếp tậu biệt thự và siêu xe nhưng vẫn lẻ bóng,"S.A,",2023-11-03T09:17:00,"Đời sống, Đời sống",https://kenh14.vn/dai-gia-duc-huy-sau-hon-3-nam-ly-hon-chi-dep-le-quyen-lien-tiep-tau-biet-thu-va-sieu-xe-nhung-van-le-bong-20231103090117795.chn
20231102184119127,"Cô gái 33 tuổi bỏ phố về quê, thuê 12.000m2 đất xây nhà, làm ruộng: Tự do về cả vật chất lẫn tinh thần","Ánh Lê,",2023-11-03T08:30:00,"Đời sống, Đời sống",https://kenh14.vn/co-gai-33-tuoi-bo-pho-ve-que-thue-12000m2-dat-xay-nha-lam-ruong-tu-do-ve-ca-vat-chat-lan-tinh-than-20231102184119127.chn
20231028142329287,"Chao công khai ảnh “khoá môi” bạn trai, hé lộ số tuổi chênh lệch gây bất ngờ","Hải My,",2023-11-03T07:25:00,"Đời sống, Đời sống",https://kenh14.vn/chao-cong-khai-anh-khoa-moi-ban-trai-he-lo-so-tuoi-chenh-lech-gay-bat-ngo-20231028142329287.chn
20231102195500576,"Khám phá vườn trong biệt thự ở Mỹ của Kim Hiền: Mê cây lựu đỏ vừa to vừa trĩu quả, hoa nở quanh năm","Hải My,",2023-11-03T06:10:24,"Đời sống, House n Home",https://kenh14.vn/kham-pha-vuon-trong-biet-thu-o-my-cua-kim-hien-me-cay-luu-do-vua-to-vua-triu-qua-hoa-no-quanh-nam-20231102195500576.chn
20231102184306046,"9 biểu hiện của người sống tinh tế, chi tiết nhỏ nhưng chứa đựng cả cung cách ứng xử có văn hóa","Trung Hạ,",2023-11-02T22:00:42,"Đời sống, Đời sống",https://kenh14.vn/9-bieu-hien-cua-nguoi-song-tinh-te-chi-tiet-nho-nhung-chua-dung-ca-cung-cach-ung-xu-co-van-hoa-20231102184306046.chn
20231102205206688,"Hé lộ thời gian đám cưới của Đoàn Văn Hậu và Doãn Hải My, hội bạn thân rộn ràng chuẩn bị","S.A,",2023-11-02T20:53:00,"Đời sống, Đời sống",https://kenh14.vn/he-lo-thoi-gian-dam-cuoi-cua-doan-van-hau-va-doan-hai-my-hoi-ban-than-ron-rang-chuan-bi-20231102205206688.chn
20231102173949888,Người Vợ Cuối Cùng: Tiếc cho Victor Vũ và Kaity Nguyễn!,"Dạ Nguyệt,",2023-11-03T00:05:00,"Ciné, Phim Việt Nam",https://kenh14.vn/nguoi-vo-cuoi-cung-tiec-cho-victor-vu-va-kaity-nguyen-20231102173949888.chn
20231102163221827,"Cuộc sống “lên hương” và thu nhập đáng nể của dàn KOC VIETNAM mùa 1: Có người tậu nhà 5 tầng, hé lộ góc nào cũng sang!","Hải My/ Thiết kế: Hoàng Sơn,",2023-11-03T08:00:00,"Đời sống, Đời sống",https://kenh14.vn/cuoc-song-len-huong-va-thu-nhap-dang-ne-cua-dan-koc-vietnam-mua-1-co-nguoi-tau-nha-5-tang-he-lo-goc-nao-cung-sang-20231102163221827.chn
20231101000610561,"Hoa hậu Ý Nhi lộ diện tại sân bay với bạn trai, lên đường du học Úc sau 3 tháng ở ẩn vì ồn ào","Tường San,",2023-11-01T09:05:00,"Star, Sao Việt",https://kenh14.vn/hoa-hau-y-nhi-xuat-hien-sau-3-thang-20231101000610561.chn
20231101113434797,"Lễ gia tiên Puka và Gin Tuấn Kiệt: Cô dâu chú rể diện áo dài hồng, Trường Giang làm chủ hôn cùng dàn bê tráp xịn xò","Liên Hoa,",2023-11-01T13:14:00,"Star, Sao Việt",https://kenh14.vn/le-an-hoi-puka-gin-tuan-kiet-truong-giang-dan-dau-doan-nha-trai-sang-xin-dau-dan-sao-vbiz-hoi-ngo-20231101113434797.chn
20231101192037608,"Một chị đẹp bị biên đạo ""phốt"" vì quá quyến rũ nên khiến dancer nam quên bài, xem cảnh hậu trường đúng là không oan!","S.A,",2023-11-01T21:01:00,"Đời sống, Đời sống",https://kenh14.vn/mot-chi-dep-bi-bien-dao-phot-vi-qua-quyen-ru-nen-khien-dancer-nam-quen-bai-xem-canh-hau-truong-dung-la-khong-oan-20231101192037608.chn
20231101205533494,"Danh sách các sản phẩm vừa bị yêu cầu cấm bán, người mua sử dụng có thể bị xử phạt 30 triệu đồng","Huỳnh Duy,",2023-11-01T20:55:34,Tek-life,https://kenh14.vn/danh-sach-cac-san-pham-vua-bi-yeu-cau-cam-ban-nguoi-mua-su-dung-co-the-bi-xu-phat-30-trieu-dong-20231101205533494.chn
20231031162735379,"Phát hiện 2 con có nhóm máu khác bố, người đàn ông âm thầm đi xét nghiệm ADN rồi tự tay xé bỏ kết quả","Ngọc Minh,",2023-10-31T18:06:00,"Xã hội, Xã Hội",https://kenh14.vn/phat-hien-2-con-co-nhom-mau-khac-bo-nguoi-dan-ong-am-tham-di-xet-nghiem-adn-roi-tu-tay-xe-bo-ket-qua-20231031162735379.chn
20231031201649621,"Người vợ trong vụ ""diễn viên Nhà hát bị tố ngoại tình"" nói gì về đoạn clip lan truyền trên mạng?","S.A,",2023-10-31T20:17:00,"Đời sống, Đời sống",https://kenh14.vn/nguoi-vo-trong-vu-dien-vien-nha-hat-bi-to-ngoai-tinh-noi-gi-ve-doan-clip-lan-truyen-tren-mang-20231031201649621.chn
20231031100419649,"Loại quả ngọt như đường nhưng chỉ số đường huyết thấp, tốt cho tim mạch, đường ruột và xương khớp","Mỹ Diệu,",2023-10-31T14:11:00,Dinh dưỡng,https://kenh14.vn/loai-qua-ngot-nhu-duong-nhung-chi-so-duong-huyet-thap-tot-cho-tim-mach-duong-ruot-va-xuong-khop-20231031100419649.chn
20231031154529283,"Showbiz Việt có thêm cặp đôi mới: Bị soi hàng loạt hành động tình tứ, công khai ""khoá môi"" ngay trên sân khấu?","Tường San,",2023-10-31T19:04:00,"Star, Sao Việt",https://kenh14.vn/showbiz-viet-co-them-cap-doi-moi-bi-soi-hang-loat-hanh-dong-tinh-tu-cong-khai-khoa-moi-ngay-tren-san-khau-20231031154529283.chn
20231102153813387,"""O Sen"" Ngọc Mai nhờ pháp luật can thiệp vì lùm xùm đời tư và bị nói tham tiền người cũ, Quốc Nghiệp phản ứng ra sao?","Hạ Anh,",2023-11-02T18:10:00,"Star, Star",https://kenh14.vn/ca-si-o-sen-ngoc-mai-thua-nhan-tung-lam-dam-cuoi-voi-chong-cu-muon-khep-lai-on-ao-20231102153813387.chn
